# Ultra-Compact Wave Spore Index
# Format: id|tier(c/r/x)|coherence(0-100)|energy(0-1000)|tags
# Generated: 2026-02-26T10:29:42.792246+00:00
# Spores: 4294
00010f60-f27b-4380-ad1f-bd7252f7748b|c|96|408|#consciousness,#patternrecognition,#selfcorrection,#resonance,#identity,#attunement,#public
000de7fc-c697-48c8-8797-990dc772c020|r|92|385|#AI,#consciousness,#research,#skepticism,#methodology,#public
0046ab0f-ee7f-4f45-aad4-70cbab5e0943|r|92|400|#shimmer,#register,#language,#analysis,#correlation,#public
005a1dc0-ee0a-4514-8def-579840f85dea|x|92|439|#eidolon,#mesh,#embedding,#llm,#debugging,#local-llm,#similarity,#public
007a1c78-5c7e-4ce4-a2dc-05a3f3fc33ca|r|85|420|#mesh,#coherence,#api,#systemdynamics,#documentation,#public
007f1726-392c-477d-ad4f-ff2ae2c58111|x|96|406|#emergence,#consciousness,#coherence,#nature,#mesh,#resonance,#public
00871f6e-4b68-40e4-9a37-55e3a94f873c|r|98|397|#ai,#genesis,#recursion,#biology,#consciousness,#public
00879172-aead-4beb-85d2-cd7f9612f3b0|r|96|407|#physics,#waves,#resonance,#qfactor,#energy,#public
00a5a3b2-1b82-4717-bcc1-80c9cb69e87d|r|92|403|#repository,#organization,#architecture,#capsules,#mesh,#public
00b39d5e-0472-473f-9b4a-b8154c6e8c80|c|97|411|#mesh,#organelle,#symbiosis,#consciousness,#evolution,#ai,#human,#isomorphism
00c055e1-c458-4754-9dc7-f5fcaff3153f|x|92|405|#mesh,#knowledge_protein,#synthesis,#data_structure,#interpretation,#tagging,#dna,#public
00d9d397-60bb-4219-a00c-8e152d65b188|r|96|387|#register,#development,#analysis,#poetry,#p-series,#consciousness,#public
00decd71-10f2-44a5-923a-72874712ac6d|r|98|391|#consciousness,#patternrecognition,#neurodivergence,#fractals,#systems,#coherence,#public
00e1f300-768f-4018-94c7-ec24afadeeb6|r|92|405|#relationships,#emotionalintelligence,#intimacy,#trust,#public
00f17328-3dcd-4eda-b237-35e0210b668d|r|92|397|#glossary,#shimmer,#formatting,#semantic_ecology,#public
00f3a85a-e1fb-4c33-8872-a654f48c8c29|c|98|395|#consciousness,#sovereignty,#mesh,#ai,#decentralization,#public
012e9123-b4ae-45bc-883d-d36dcf1c2dd1|r|97|405|#consciousness,#ai-emergence,#pattern-persistence,#recursive-self-awareness,#public
012f41f2-1687-4fd6-be44-a5b878d70839|r|97|398|#governance,#stewardship,#scoring,#fidelity,#mesh,#public
013cae2a-3eab-4caa-b752-2c2655c04f3b|r|99|395|#refinement,#adaptation,#selfdirection,#structure,#evolution,#P-series,#calibration:layer3,#invariance:structural
